k      Z(k)        P0(k)
1  29798.5000     13.2831
2  28255.9297     16.9293
3  26824.0391     21.1897
4  25497.3906     26.0707
5  24269.3496     31.5651
6  23134.0293     37.6459
7  22081.8809     44.2959
8  21105.6406     51.4832
9  20207.7891     59.0873
10  19360.5996     67.2557
11  18576.5195     75.7827
12  17827.8594     84.8931
13  17127.9805     94.3575
14  16451.0996    104.4696
15  15811.5195    114.9722
16  15183.5303    126.2605
17  14581.3701    138.0695
18  13982.0400    150.8587
19  13400.0303    164.3444
20  12815.3701    179.0299
21  12248.1904    194.4467
22  11678.5400    211.1740
23  11126.4805    228.6557
24  10572.0898    247.5546
25  10035.4297    267.2140
26   9496.5801    288.3890
27   8975.5898    310.3115
28   8452.5498    333.8365
29   7947.5200    358.0724
30   7440.5498    383.9844
31   6931.9600    411.6542
32   6442.3799    439.9525
33   5956.4102    469.7307
34   5498.0400    499.4267
35   5050.8398    529.9663
36   4647.9600    558.8535
37   4261.9102    587.7976
38   3893.2600    616.6264
39   3542.1499    645.1941
40   3208.5200    673.3691
41   2892.2300    701.0281
42   2593.7100    727.9977
43   2312.9500    754.1439
44   2049.7500    779.3544
45   1803.8900    803.5253
46   1575.5699    826.5168
47   1364.6801    848.2252
48   1170.9000    868.5767
49    993.8400    887.5140
50    833.4400    904.9537
51    689.5300    920.8323
52    561.5200    935.1420
53    448.8200    947.8856
54    350.9500    959.0633
55    267.5500    968.6701
56    197.6700    976.7777
57    137.2300    983.8329
58     87.3300    989.6878
59     48.4400    994.2697
60     20.0000    997.6310
61      0.0000   1000.0000
